,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
3376,45.89222,-117.54278000000001,2014,204,Lightning,A,"[-117.56878, 45.87422, -117.51678, 45.91022]",2014-07-24
3377,46.6998,-123.6405,2014,224,Lightning,A,"[-123.6665, 46.6818, -123.6145, 46.7178]",2014-08-13
3378,45.15694444,-116.82055556,2014,199,Lightning,A,"[-116.84656, 45.13894, -116.79456, 45.17494]",2014-07-19
3379,61.474666000000006,-156.9575,2015,170,Lightning,C,"[-156.9835, 61.45667, -156.9315, 61.49267]",2015-06-20
3380,42.22416667,-114.44972222,2014,183,Lightning,C,"[-114.47572, 42.20617, -114.42372, 42.24217]",2014-07-03
3381,36.86614,-107.07538999999998,2015,182,Lightning,B,"[-107.10139, 36.84814, -107.04939, 36.88414]",2015-07-02
3382,42.7887,-73.6487,2015,103,Lightning,B,"[-73.6747, 42.7707, -73.6227, 42.8067]",2015-04-14
3383,45.88908,-104.5049,2014,164,Lightning,A,"[-104.5309, 45.87108, -104.4789, 45.90708]",2014-06-14
3384,34.0214,-109.9548,2014,241,Lightning,B,"[-109.9808, 34.0034, -109.9288, 34.0394]",2014-08-30
3385,43.89694444,-122.15583333,2014,227,Lightning,A,"[-122.18183, 43.87894, -122.12983, 43.91494]",2014-08-16
3386,41.6616,-74.4,2015,124,Lightning,B,"[-74.426, 41.6436, -74.374, 41.6796]",2015-05-05
3387,45.9997,-117.1139,2014,223,Lightning,D,"[-117.1399, 45.9817, -117.0879, 46.0177]",2014-08-12
3388,46.3294,-116.5872,2015,179,Lightning,C,"[-116.6132, 46.3114, -116.5612, 46.3474]",2015-06-29
3389,32.7997,-111.9458,2015,104,Lightning,A,"[-111.9718, 32.7817, -111.9198, 32.8177]",2015-04-15
3390,42.48138889,-120.71055556,2015,203,Lightning,A,"[-120.73656, 42.46339, -120.68456, 42.49939]",2015-07-23
3391,41.87611111,-121.25388889,2015,190,Lightning,C,"[-121.27989, 41.85811, -121.22789, 41.89411]",2015-07-10
3392,45.94527778,-115.24138889,2015,210,Lightning,B,"[-115.26739, 45.92728, -115.21539, 45.96328]",2015-07-30
3393,27.054000000000002,-82.3153,2015,131,Lightning,B,"[-82.3413, 27.036, -82.2893, 27.072]",2015-05-12
3394,37.0707,-107.1873,2014,211,Lightning,C,"[-107.2133, 37.0527, -107.1613, 37.0887]",2014-07-31
3395,30.2274,-83.6,2014,210,Lightning,B,"[-83.626, 30.2094, -83.574, 30.2454]",2014-07-30
