,LATITUDE,LONGITUDE,FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,BBOX,Date
98,44.6574,-74.2545,2015,358,Powerline,A,"[-74.2805, 44.6394, -74.2285, 44.6754]",2015-12-25
99,35.801317,-83.50195,2014,26,Powerline,C,"[-83.52795, 35.78332, -83.47595, 35.81932]",2014-01-27
100,29.9159,-83.6016,2014,159,Powerline,A,"[-83.6276, 29.8979, -83.5756, 29.9339]",2014-06-09
101,48.129220000000004,-118.25017,2015,222,Powerline,C,"[-118.27617, 48.11122, -118.22417, 48.14722]",2015-08-11
102,30.802415999999997,-103.7532,2014,160,Powerline,A,"[-103.7792, 30.78442, -103.7272, 30.82042]",2014-06-10
103,32.277733000000005,-98.586519,2014,117,Powerline,A,"[-98.61252, 32.25973, -98.56052, 32.29573]",2014-04-28
104,35.410416999999995,-86.297167,2014,99,Powerline,C,"[-86.32317, 35.39242, -86.27117, 35.42842]",2014-04-10
105,34.250603000000005,-80.419312,2015,168,Powerline,A,"[-80.44531, 34.2326, -80.39331, 34.2686]",2015-06-18
106,36.6994,-103.3833,2014,70,Powerline,B,"[-103.4093, 36.6814, -103.3573, 36.7174]",2014-03-12
107,34.145278000000005,-103.388611,2015,309,Powerline,C,"[-103.41461, 34.12728, -103.36261, 34.16328]",2015-11-06
108,41.79895,-97.98605,2014,27,Powerline,B,"[-98.01205, 41.78095, -97.96005, 41.81695]",2014-01-28
109,27.5467,-81.4823,2015,178,Powerline,B,"[-81.5083, 27.5287, -81.4563, 27.5647]",2015-06-28
110,32.694722999999996,-100.964055,2015,236,Powerline,B,"[-100.99006, 32.67672, -100.93806, 32.71272]",2015-08-25
111,32.295155,-101.270455,2015,66,Powerline,B,"[-101.29646, 32.27716, -101.24446, 32.31316]",2015-03-08
112,46.82619255,-95.21613763,2015,163,Powerline,B,"[-95.24214, 46.80819, -95.19014, 46.84419]",2015-06-13
113,46.9229,-114.0547,2015,222,Powerline,B,"[-114.0807, 46.9049, -114.0287, 46.9409]",2015-08-11
114,28.3798,-81.7597,2015,134,Powerline,B,"[-81.7857, 28.3618, -81.7337, 28.3978]",2015-05-15
115,39.200006,-82.989237,2015,90,Powerline,C,"[-83.01524, 39.18201, -82.96324, 39.21801]",2015-04-01
116,31.531394,-97.288822,2014,233,Powerline,A,"[-97.31482, 31.51339, -97.26282, 31.54939]",2014-08-22
117,30.189558,-96.93339499999999,2015,274,Powerline,A,"[-96.95939, 30.17156, -96.9074, 30.20756]",2015-10-02
118,47.39604389,-92.56072147,2015,140,Powerline,A,"[-92.58672, 47.37804, -92.53472, 47.41404]",2015-05-21
119,32.653099,-97.359617,2014,119,Powerline,A,"[-97.38562, 32.6351, -97.33362, 32.6711]",2014-04-30
120,39.25992845,-79.12972411,2015,100,Powerline,A,"[-79.15572, 39.24193, -79.10372, 39.27793]",2015-04-11
121,32.987732,-81.27873199999999,2014,25,Powerline,A,"[-81.30473, 32.96973, -81.25273, 33.00573]",2014-01-26
122,30.747737,-97.87668199999999,2015,282,Powerline,B,"[-97.90268, 30.72974, -97.85068, 30.76574]",2015-10-10
123,27.5711,-80.8329,2015,357,Powerline,B,"[-80.8589, 27.5531, -80.8069, 27.5891]",2015-12-24
124,33.669891,-81.463318,2014,47,Powerline,B,"[-81.48932, 33.65189, -81.43732, 33.68789]",2014-02-17
